Year,FFD,GHD,Jpn_temp_anom,Jpn_temp,Fr_temp_anom,Fr_temp
1881,112,27.3,-2.252,9.998,0.2714,9.2614
1882,97,34.9,-0.81,11.44,-0.7696,8.2204
1883,107,36.8,-1.855,10.395,-0.6048,8.3852
1884,109,30.3,-1.702,10.548,-0.2292,8.7608
1885,113,25.8,-2.569,9.681,-0.1466,8.8434
1886,108,28.9,-0.188,12.062,-0.1008,8.8892
1887,109,28.9,-0.728,11.522,-0.2096,8.7804
1888,107,33.2,-0.068,12.182,-1.0218,7.9682
1889,109,25.1,-0.653,11.597,0.016,9.006
1890,98,29.9,1.288,13.538,-0.704,8.286
1891,99,38.7,1.138,13.388,-1.0758,7.9142
1892,115,23.0,-2.393,9.857,0.2632,9.2532
1893,109,-1.0,-1.303,10.947,1.0816,10.0716
1894,98,30.3,0.475,12.725,0.0304,9.0204
1895,,24.3,-0.863,11.387,0.1674,9.1574
1896,106,27.8,-1.953,10.297,-1.1218,7.8682
1897,106,21.3,-1.016,11.234,0.0954,9.0854
1898,108,31.3,-2.297,9.953,-0.3342,8.6558
1899,99,26.8,0.405,12.655,0.0212,9.0112
1900,102,28.8,-1.377,10.873,-0.0628,8.9272
1901,102,16.5,-0.709,11.541,0.4134,9.4034
1902,98,32.4,0.781,13.031,-0.5594,8.4306
1903,99,34.8,1.349,13.599,-1.1022,7.8878
1904,108,18.8,-0.578,11.672,1.3498,10.3398
1905,105,24.8,-0.991,11.259,0.442,9.432
1906,105,22.5,-0.489,11.761,0.1724,9.1624
1907,103,34.5,-1.109,11.141,-0.5966,8.3934
1908,102,23.0,-1.165,11.085,-0.1462,8.8438
1909,108,33.5,-1.713,10.537,-0.7064,8.2836
1910,104,,-1.568,10.682,-0.84,8.15
